0 48045 48024
1 48009 47865
2 48045 48001
3 48035 44785
4 48038 44375
5 48021 44240
6 48047 41992
7 48047 42473
8 48047 47971
9 48047 47707
10 48047 48020
11 48047 48018
12 48048 48021
13 48047 48019
14 48047 48021
15 48047 48022
16 48047 48020
17 48031 48002
18 48023 47995
19 48015 47986
20 48031 48006
21 48047 48022
22 48045 48023
23 48045 48022
24 48035 48012
25 48045 48022
26 48045 48021
27 48045 48021
28 48045 48020
29 48041 48017
30 48039 48015
31 48045 48022
32 48015 47994
33 48045 48024
34 48045 48024
35 48041 48020
36 48047 48024
37 48047 48024
38 48047 48024
39 48047 48024
