0 48047 47234
1 48011 46563
2 48007 46363
3 48045 45756
4 48047 32212
5 48037 45344
6 48047 44871
7 48033 39977
8 48047 47145
9 48047 45670
10 48047 47662
11 48047 47440
12 48031 47552
13 48011 47447
14 48047 47888
15 48045 47898
16 48045 47899
17 48045 47814
18 48011 47464
19 48045 47903
20 48045 47724
21 48045 47822
22 48045 47873
23 48024 47780
24 48007 47454
25 48047 47581
26 48048 47615
27 48011 47625
28 48047 40055
29 48047 47680
30 48027 47460
31 48031 47759
32 48047 47439
33 48041 47811
34 48045 47392
35 48045 47895
36 48045 47735
37 48039 47818
38 48013 47631
39 48047 47617
