0 48045 48025
1 48047 47993
2 48015 47962
3 48039 46511
4 48047 46458
5 48019 45055
6 48047 46395
7 48047 45468
8 48047 48016
9 48047 47911
10 48031 47998
11 48017 47990
12 48007 47983
13 48045 48020
14 48045 48021
15 48045 48021
16 48043 48017
17 48047 48020
18 48039 48013
19 48013 47985
20 48007 47981
21 48045 48020
22 48045 48021
23 48019 47994
24 48045 48022
25 48045 48021
26 48045 48022
27 48043 48020
28 48011 47987
29 48023 47996
30 48015 47985
31 48047 48022
32 48048 48025
33 48047 48025
34 48048 48026
35 48007 47985
36 48047 48025
37 48047 48025
38 48047 48025
39 48047 48025
