0 48047 48022
1 48047 48019
2 48047 48021
3 48048 47977
4 48023 47907
5 48045 47878
6 48047 47962
7 48047 47981
8 48047 48021
9 48045 48005
10 48045 48015
11 48045 48020
12 48019 47991
13 48047 48021
14 48047 48021
15 48047 48022
16 48047 48019
17 48023 47997
18 48047 48021
19 48043 48015
20 48017 47989
21 48031 48006
22 48045 48021
23 48045 48019
24 48045 48021
25 48023 48000
26 48033 48009
27 48045 48021
28 48045 48022
29 48045 48020
30 48043 48019
31 48045 48020
32 48047 48023
33 48047 48023
34 48009 47985
35 48047 48021
36 48045 48021
37 48027 48002
38 48043 48019
39 48045 48021
