0 48017 47992
1 48033 48004
2 48045 48018
3 48045 47940
4 48045 47926
5 48023 47845
6 48017 47926
7 48032 47922
8 48047 48014
9 48047 48014
10 48047 48021
11 48047 48021
12 48048 48021
13 48027 47997
14 48016 47990
15 48045 48020
16 48045 48021
17 48009 47987
18 48009 47983
19 48047 48023
20 48047 48023
21 48047 48022
22 48045 48020
23 48039 48014
24 48021 47997
25 48047 48018
26 48047 48016
27 48047 48008
28 48039 48004
29 48047 47975
30 48027 47938
31 48047 48022
32 48047 48023
33 48047 48022
34 48048 48023
35 48047 48022
36 48045 48020
37 48043 48019
38 48017 47993
39 48031 48007
