0 48045 46612
1 48045 46971
2 48039 46778
3 48039 40863
4 48015 43132
5 48031 44952
6 48031 43957
7 48045 45510
8 48045 47514
9 48019 46614
10 48045 47570
11 48045 47709
12 48039 47307
13 48045 47767
14 48033 47898
15 48047 47886
16 48047 47602
17 48011 47691
18 48048 47660
19 48047 47540
20 48043 47488
21 48047 47607
22 48045 47672
23 48047 47860
24 48047 47805
25 48045 47768
26 48043 47478
27 48037 47708
28 48027 42063
29 48047 47679
30 48047 47565
31 48035 47732
32 48043 47664
33 48045 47762
34 48035 47720
35 48030 47755
36 48019 47472
37 48045 47776
38 48023 47460
39 48047 47569
